0.065,35157.3,-179569,-39503.5,-46521.1,-55490.1,-23237.6,23237.6,0
0.066,38981.4,-175847,-38789.6,-45792.3,-56810.1,-23032.8,23032.8,0
0.067,42578.4,-172107,-38258.9,-45136.5,-58311.9,-22916.6,22916.6,0
0.068,45936.6,-168344,-37928.3,-44558.3,-60010.6,-22895.7,22895.7,0
0.069,49041.3,-164550,-37816.3,-44061.4,-61922,-22975.8,22975.8,0
0.07,51874.4,-160715,-37942.2,-43648.8,-64062.7,-23162.2,23162.2,0
0.071,54414.6,-156827,-38326.9,-43322.8,-66450.1,-23459.5,23459.5,0
0.072,56636.7,-152876,-38993,-43085.1,-69102.4,-23871.8,23871.8,0
0.073,58511.9,-148847,-39964.5,-42936.6,-72039,-24402.2,24402.2,0
0.074,60007.2,-144729,-41267,-42877.4,-75280,-25053.4,25053.4,0
0.075,61085.9,-140509,-42928.1,-42907.3,-78846.3,-25827,25827,0
0.076,61707,-136175,-44976.8,-43024.8,-82759.9,-26723.6,26723.6,0
0.077,61826,-131714,-47443.7,-43228.1,-87043.2,-27743,27743,0
0.078,61394.5,-127119,-50360.8,-43514.3,-91719.4,-28883.6,28883.6,0
0.079,60361.2,-122379,-53761.3,-43879.6,-96811.8,-30142.3,30142.3,0
0.08,58671.9,-117489,-57679,-44319.4,-102344,-31514.7,31514.7,0
0.081,56270.5,-112445,-62148.2,-44827.8,-108339,-32994.7,32994.7,0
0.082,53100,-107248,-67202.7,-45397.8,-114819,-34574,34574,0
0.083,49103,-101900,-72875.5,-46021.3,-121804,-36242.6,36242.6,0
0.084,44223.9,-96407.5,-79197.7,-46688.8,-129315,-37988.1,37988.1,0
0.085,38409.4,-90782.5,-86197.7,-47389.5,-137367,-39795.7,39795.7,0
0.086,31611.1,-85040.4,-93900.1,-48111.1,-145973,-41648.4,41648.4,0
0.087,23786.6,-79201.6,-102325,-48840,-155142,-43526.7,43526.7,0
0.088,14901.7,-73290.9,-111485,-49561.3,-164877,-45408.7,45408.7,0
0.089,4987.47,-67346.4,-121313,-50236.7,-175094,-47242.5,47242.5,0
0.09,3131.73,-62880.2,-119845,-47459.6,-172563,-44761,44761,0
0.091,5142.29,-59387,-113603,-43497.6,-164819,-40717,40717,0
0.092,10752.3,-56831.8,-103359,-38747,-152858,-35582.2,35582.2,0
0.093,19521.3,-55106.3,-89982.4,-33573.3,-137739,-29805.1,29805.1,0
0.094,30900.8,-54055.2,-74355.6,-28290.2,-120496,-23781.3,23781.3,0
0.095,44290.6,-53500.3,-57316.5,-23150.4,-102078,-17839.1,17839.1,0
0.096,59082.9,-53258.6,-39621.9,-18344.7,-83310.3,-12234.7,12234.7,0
0.097,74695.5,-53157,-21925.1,-14005.7,-64883.6,-7154.26,7154.26,0
0.098,90596,-53041.4,-4766.32,-10214.5,-47345.2,-2719.78,2719.78,0
0.099,106318,-52782.9,11430.2,-7008.03,-31104.1,1002.58,-1002.58,0
0.1,121474,-52280.9,26352.9,-4387.79,-16440.1,3993.5,-3993.5,0
0.101,135756,-51463.2,39796.3,-2327.63,-3515.78,6271.1,-6271.1,0
0.102,148941,-50284.9,51650.5,-781.435,7608.45,7881.66,-7881.66,0
0.103,160887,-48725.3,61889.8,309.838,16958.2,8890.99,-8890.99,0
0.104,171525,-46784.4,70558.4,1012,24628.1,9376.38,-9376.38,0
0.105,180848,-44478.2,77755.8,1392.39,30764.5,9419.74,-9419.74,0
0.106,188906,-41833.8,83621.9,1515.67,35548.7,9101.83,-9101.83,0
0.107,195786,-38885.8,88322.1,1440.66,39181.6,8497.78,-8497.78,0
0.108,201602,-35671.6,92033.5,1218.33,41869.3,7674.06,-7674.06,0
0.109,206481,-32228.9,94932.8,890.687,43811.5,6686.61,-6686.61,0
0.11,210549,-28593.3,97185,490.565,45191.2,5580.24,-5580.24,0
0.111,213925,-24797.3,98935.2,42.1908,46166.5,4389.11,-4389.11,0
0.112,216704,-20869.6,100301,-437.687,46864.7,3137.9,-3137.9,0
0.113,218957,-16835.9,101366,-938.205,47377.9,1843.88,-1843.88,0
0.114,220720,-12719.5,102180,-1452.46,47759.1,519.278,-519.278,0
0.115,221998,-8543.51,102753,-1975.36,48023.4,-825.936,825.936,0
0.116,222782,-4331.22,103081,-2502.08,48169.8,-2181.98,2181.98,0
0.117,223069,-106.406,103164,-3027.68,48197.4,-3538.9,3538.9,0
0.118,222863,4107.29,103002,-3547.26,48106.8,-4886.8,4886.8,0
0.119,222171,8286.82,102599,-4056,47899.7,-6215.99,6215.99,0
0.12,221007,12410.2,101963,-4549.28,47579.3,-7517.19,7517.19,0
0.121,219392,16456.8,101101,-5022.76,47150,-8781.69,8781.69,0
0.122,217348,20408,100025,-5472.41,46617.1,-10001.5,10001.5,0
0.123,214903,24247.2,98749.2,-5894.61,45986.7,-11169.4,11169.4,0
0.124,212087,27960,97287,-6286.17,45265.8,-12279.2,12279.2,0
0.125,208934,31534.6,95654.4,-6644.34,44462,-13325.7,13325.7,0
0.126,205478,34961.8,93868,-6966.87,43583,-14304.4,14304.4,0
0.127,201755,38234.7,91944.7,-7251.92,42637,-15212.1,15212.1,0
0.128,197800,41348.9,89901.5,-7498.15,41631.9,-16046.4,16046.4,0
0.129,193648,44302.5,87755.3,-7704.61,40575.9,-16805.8,16805.8,0
0.13,189334,47095.4,85522.4,-7870.72,39476.6,-17489.8,17489.8,0
0.131,184891,49729.9,83218.4,-7996.28,38341.6,-18098.4,18098.4,0
0.132,180348,52209.5,80858.1,-8081.37,37177.8,-18632.3,18632.3,0
0.133,175736,54539.7,78455.3,-8126.31,35991.9,-19092.9,19092.9,0
0.134,171081,56727,76022.6,-8131.66,34789.7,-19481.9,19481.9,0
0.135,166406,58778.9,73571.5,-8098.11,33576.8,-19801.6,19801.6,0
0.136,161733,60704,71112.3,-8026.49,32358.1,-20054.3,20054.3,0
0.137,157082,62511.2,68654.1,-7917.71,31137.8,-20242.8,20242.8,0
0.138,152469,64210.1,66204.8,-7772.71,29919.8,-20369.7,20369.7,0
0.139,147908,65810.6,63771.3,-7592.47,28707.3,-20438,20438,0
0.14,143412,67322.5,61359.3,-7377.95,27503,-20450.5,20450.5,0
0.141,138990,68756,58973.6,-7130.05,26309.2,-20410.1,20410.1,0
0.142,134651,70121,56617.9,-6849.66,25127.7,-20319.5,20319.5,0
0.143,130401,71427.3,54295.3,-6537.59,23959.9,-20181.5,20181.5,0
0.144,126245,72684.7,52007.9,-6194.55,22806.7,-19998.4,19998.4,0
0.145,122185,73902.3,49757.2,-5821.2,21669.1,-19772.8,19772.8,0
0.146,118223,75089.4,47544.1,-5418.1,20547.3,-19506.9,19506.9,0
0.147,114360,76254.7,45369,-4985.7,19441.5,-19202.8,19202.8,0
0.148,110596,77406.7,43231.5,-4524.39,18351.6,-18862.3,18862.3,0
0.149,106929,78553.3,41131.3,-4034.46,17277.5,-18487.3,18487.3,0
0.15,103357,79702.5,39067.3,-3516.12,16218.6,-18079.4,18079.4,0
0.151,99876,80861.5,37038.2,-2969.49,15174.4,-17639.9,17639.9,0
0.152,96483.4,82037.4,35042.6,-2394.66,14144.4,-17170.3,17170.3,0
0.153,93174.5,83236.9,33078.6,-1791.62,13127.6,-16671.6,16671.6,0
0.154,89944.7,84466.3,31144.6,-1160.35,12123.3,-16145,16145,0
0.155,86788.7,85731.5,29238.3,-500.753,11130.6,-15591.4,15591.4,0
0.156,83700.8,87038.2,27357.6,187.248,10148.6,-15011.7,15011.7,0
0.157,80675.1,88391.6,25500.4,903.756,9176.36,-14406.6,14406.6,0
0.158,77705.4,89796.7,23664.4,1648.86,8213.05,-13777,13777,0
0.159,74785,91257.9,21847.2,2422.64,7257.73,-13123.5,13123.5,0
0.16,71907.1,92779.5,20046.8,3225.09,6309.55,-12446.9,12446.9,0
0.161,69064.6,94365,18260.8,4056.17,5367.7,-11747.9,11747.9,0
0.162,66250.3,96017.9,16487,4915.76,4431.42,-11027.1,11027.1,0
0.163,63456.8,97741,14723.4,5803.61,3500.04,-10285.4,10285.4,0
0.164,60676.2,99536.7,12968,6719.34,2572.97,-9523.69,9523.69,0
0.165,57901,101407,11218.9,7662.44,1649.71,-8742.8,8742.8,0
0.166,55123.2,103352,9474.35,8632.18,729.886,-7943.84,7943.84,0
0.167,52334.7,105374,7732.82,9627.68,-186.775,-7127.99,7127.99,0
0.168,49527.6,107473,5992.9,10647.8,-1100.39,-6296.59,6296.59,0
0.169,46693.7,109647,4253.42,11691.1,-2010.95,-5451.15,5451.15,0
0.17,43824.8,111895,2513.42,12755.9,-2918.28,-4593.38,4593.38,0
0.171,40913,114215,772.179,13840.4,-3822.04,-3725.18,3725.18,0
0.172,37950.1,116604,-970.746,14942.1,-4721.71,-2848.68,2848.68,0
0.173,34928.4,119058,-2715.52,16058.6,-5616.6,-1966.25,1966.25,0
0.174,31840.2,121571,-4462.02,17186.8,-6505.83,-1080.47,1080.47,0
0.175,28678,124139,-6209.8,18323.5,-7388.33,-194.187,194.187,0
0.176,25434.7,126753,-7958.1,19465,-8262.85,689.539,-689.539,0
0.177,22103.7,129407,-9705.81,20607.3,-9127.93,1567.42,-1567.42,0
0.178,18678.8,132090,-11451.5,21746.1,-9981.95,2435.94,-2435.94,0
0.179,15154.2,134793,-13193.4,22876.8,-10823.1,3291.43,-3291.43,0
0.18,11525,137505,-14929.5,23994.4,-11649.4,4130.03,-4130.03,0
