0,0,0,0
0.01,-5.40225e-05,-0.0735,-0.147
0.02,-0.000432179,-0.146999,-0.294
0.03,-0.00145859,-0.220494,-0.440998
0.04,-0.0034573,-0.293976,-0.587992
0.05,-0.00675213,-0.367426,-0.734975
0.06,-0.0116664,-0.440815,-0.881938
0.07,-0.0185225,-0.5141,-1.02887
0.08,-0.0276412,-0.58722,-1.17574
0.09,-0.0393406,-0.660094,-1.32253
0.1,-0.053935,-0.73262,-1.46921
0.11,-0.0717336,-0.80467,-1.61572
0.12,-0.0930378,-0.876087,-1.76203
0.13,-0.11814,-0.946685,-1.90806
0.14,-0.147318,-1.01625,-2.05374
0.15,-0.180837,-1.08452,-2.19898
0.16,-0.218941,-1.15121,-2.3437
0.17,-0.261849,-1.21601,-2.48777
0.18,-0.309754,-1.27855,-2.63106
0.19,-0.362814,-1.33842,-2.77345
0.2,-0.421149,-1.39521,-2.91477
0.21,-0.484832,-1.44843,-3.05485
0.22,-0.55389,-1.4976,-3.1935
0.23,-0.62829,-1.54219,-3.33052
0.24,-0.707937,-1.58164,-3.4657
0.25,-0.792668,-1.61539,-3.59879
0.26,-0.882249,-1.64287,-3.72955
0.27,-0.976365,-1.66349,-3.85771
0.28,-1.07462,-1.67669,-3.98301
0.29,-1.17654,-1.6819,-4.10514
0.3,-1.28155,-1.67862,-4.22381
0.31,-1.38901,-1.66636,-4.33872
0.32,-1.49819,-1.64469,-4.44954
0.33,-1.60828,-1.61327,-4.55595
0.34,-1.71839,-1.5718,-4.65764
0.35,-1.82758,-1.52011,-4.75428
0.36,-1.93486,-1.45813,-4.84554
0.37,-2.03919,-1.38588,-4.93111
0.38,-2.13952,-1.30354,-5.0107
0.39,-2.23479,-1.21139,-5.08399
0.4,-2.32394,-1.10985,-5.15071
0.41,-2.40595,-0.999499,-5.2106
0.42,-2.47986,-0.881013,-5.26342
0.43,-2.54478,-0.755215,-5.30896
0.44,-2.59989,-0.62304,-5.34701
0.45,-2.64451,-0.485528,-5.37742
0.46,-2.67805,-0.34381,-5.40006
0.47,-2.70009,-0.199089,-5.41483
0.48,-2.71032,-0.0526197,-5.42167
0.49,-2.70863,0.0943132,-5.42053
0.5,-2.69502,0.240416,-5.41144
0.51,-2.66968,0.38441,-5.39443
0.52,-2.63294,0.525053,-5.36957
0.53,-2.58528,0.66116,-5.33698
0.54,-2.52731,0.791626,-5.29678
0.55,-2.45975,0.915439,-5.24916
0.56,-2.38345,1.03169,-5.19431
0.57,-2.2993,1.13961,-5.13245
0.58,-2.20831,1.23853,-5.06383
0.59,-2.1115,1.32793,-4.98873
0.6,-2.00993,1.40743,-4.90741
0.61,-1.90465,1.47678,-4.82019
0.62,-1.79672,1.53584,-4.72737
0.63,-1.68717,1.58461,-4.62927
0.64,-1.57697,1.6232,-4.5262
0.65,-1.46706,1.65182,-4.4185
0.66,-1.35829,1.67078,-4.30649
0.67,-1.25146,1.68045,-4.19048
0.68,-1.14726,1.68126,-4.0708
0.69,-1.04633,1.67373,-3.94774
0.7,-0.949201,1.65836,-3.8216
0.71,-0.856336,1.63574,-3.69267
0.72,-0.768104,1.60642,-3.56122
0.73,-0.684795,1.57099,-3.42752
0.74,-0.606625,1.53003,-3.29179
0.75,-0.533736,1.48408,-3.15429
0.76,-0.466203,1.43371,-3.01521
0.77,-0.404043,1.37942,-2.87476
0.78,-0.347216,1.32171,-2.73312
0.79,-0.295634,1.26104,-2.59046
0.8,-0.249165,1.19782,-2.44693
0.81,-0.207642,1.13245,-2.30267
0.82,-0.170864,1.06528,-2.15779
0.83,-0.138603,0.996613,-2.01241
0.84,-0.110609,0.926734,-1.86662
0.85,-0.0866149,0.855882,-1.72051
0.86,-0.0663363,0.784269,-1.57414
0.87,-0.0494785,0.712069,-1.42757
0.88,-0.0357378,0.639432,-1.28086
0.89,-0.0248033,0.566478,-1.13404
0.9,-0.0163596,0.493304,-0.987151
0.91,-0.0100876,0.419984,-0.840211
0.92,-0.00566598,0.346574,-0.693241
0.93,-0.00277208,0.273113,-0.546254
0.94,-0.00108239,0.199626,-0.399258
0.95,-0.000272997,0.126129,-0.252259
0.96,-1.98293e-05,0.0526298,-0.105259
0.97,1.2414e-06,-0.0208702,0.0417406
0.98,0.00011435,-0.0943701,0.188741
0.99,0.000643629,-0.167869,0.33574
1,0.00191319,-0.241361,0.482738
1.01,0.00424702,-0.314836,0.629729
1.02,0.00796886,-0.388272,0.776708
1.03,0.0134018,-0.461637,0.923663
1.04,0.0208678,-0.534882,1.07058
1.05,0.0306871,-0.607941,1.21743
1.06,0.0431768,-0.680728,1.36419
1.07,0.0586499,-0.753133,1.51083
1.08,0.0774136,-0.82502,1.65729
1.09,0.099767,-0.896225,1.80352
1.1,0.125999,-0.966552,1.94946
1.11,0.156384,-1.03577,2.09503
1.12,0.191181,-1.10363,2.24013
1.13,0.230628,-1.16982,2.38468
1.14,0.274936,-1.23401,2.52854
1.15,0.324291,-1.29584,2.67159
1.16,0.378838,-1.35488,2.81369
1.17,0.438686,-1.4107,2.95468
1.18,0.503895,-1.46283,3.09437
1.19,0.574476,-1.51075,3.23258
1.2,0.650378,-1.55394,3.3691
1.21,0.731488,-1.59183,3.50371
1.22,0.817624,-1.62386,3.63617
1.23,0.908528,-1.64945,3.76622
1.24,1.00386,-1.66802,3.89359
1.25,1.10321,-1.679,4.01802
1.26,1.20607,-1.68186,4.1392
1.27,1.31185,-1.67607,4.25684
1.28,1.41987,-1.66118,4.37061
1.29,1.52939,-1.63678,4.48022
1.3,1.63958,-1.60252,4.58532
