0,0,-2.45
0.01,0.0162067,-2.45001
0.02,0.0648266,-2.45019
0.03,0.145856,-2.45096
0.04,0.259283,-2.45305
0.05,0.405073,-2.45744
0.06,0.583157,-2.46543
0.07,0.79341,-2.47859
0.08,1.03563,-2.49875
0.09,1.30949,-2.52804
0.1,1.61456,-2.56886
0.11,1.95018,-2.62385
0.12,2.31553,-2.6959
0.13,2.70949,-2.78813
0.14,3.13065,-2.90383
0.15,3.57726,-3.04649
0.16,4.04715,-3.2197
0.17,4.53772,-3.42713
0.18,5.0459,-3.67248
0.19,5.56807,-3.95937
0.2,6.10006,-4.29133
0.21,6.63712,-4.67163
0.22,7.1739,-5.10327
0.23,7.70444,-5.5888
0.24,8.22223,-6.13024
0.25,8.72019,-6.72897
0.26,9.19074,-7.38558
0.27,9.6259,-8.0998
0.28,10.0174,-8.87033
0.29,10.3567,-9.69478
0.3,10.6353,-10.5696
0.31,10.8448,-11.4898
0.32,10.9772,-12.4494
0.33,11.0249,-13.4408
0.34,10.9813,-14.4554
0.35,10.8406,-15.4832
0.36,10.5981,-16.5131
0.37,10.2509,-17.5332
0.38,9.79746,-18.5307
0.39,9.23802,-19.4924
0.4,8.57481,-20.4049
0.41,7.81199,-21.2547
0.42,6.95572,-22.0289
0.43,6.0141,-22.7152
0.44,4.9971,-23.3025
0.45,3.91633,-23.781
0.46,2.7849,-24.1425
0.47,1.61705,-24.3808
0.48,0.42793,-24.4917
0.49,-0.766842,-24.4733
0.5,-1.9515,-24.3259
0.51,-3.11051,-24.0521
0.52,-4.22896,-23.6567
0.53,-5.29289,-23.1464
0.54,-6.28961,-22.5299
0.55,-7.20792,-21.8175
0.56,-8.0384,-21.0205
0.57,-8.77347,-20.1516
0.58,-9.40755,-19.2238
0.59,-9.93704,-18.2506
0.6,-10.3603,-17.2453
0.61,-10.6775,-16.2212
0.62,-10.8907,-15.1907
0.63,-11.0034,-14.1655
0.64,-11.0204,-13.1566
0.65,-10.9479,-12.1733
0.66,-10.7928,-11.2242
0.67,-10.5628,-10.3163
0.68,-10.2661,-9.45538
0.69,-9.91114,-8.64594
0.7,-9.50641,-7.8912
0.71,-9.06037,-7.19325
0.72,-8.58124,-6.55308
0.73,-8.07691,-5.97072
0.74,-7.5548,-5.44533
0.75,-7.02184,-4.97533
0.76,-6.48441,-4.55855
0.77,-5.94827,-4.19229
0.78,-5.41861,-3.87348
0.79,-4.90002,-3.59874
0.8,-4.39649,-3.36454
0.81,-3.9115,-3.1672
0.82,-3.44797,-3.00303
0.83,-3.00839,-2.86839
0.84,-2.59479,-2.7597
0.85,-2.20883,-2.67353
0.86,-1.85182,-2.60663
0.87,-1.52479,-2.55595
0.88,-1.22853,-2.51866
0.89,-0.963616,-2.49219
0.9,-0.730449,-2.47422
0.91,-0.529313,-2.46271
0.92,-0.360389,-2.45589
0.93,-0.223783,-2.45227
0.94,-0.119554,-2.45065
0.95,-0.047726,-2.4501
0.96,-0.00830967,-2.45
0.97,-0.00130673,-2.45
0.98,-0.0267173,-2.45003
0.99,-0.0845405,-2.45032
1,-0.174771,-2.45139
1.01,-0.297392,-2.45401
1.02,-0.452361,-2.45928
1.03,-0.639595,-2.46857
1.04,-0.858949,-2.48351
1.05,-1.11019,-2.50604
1.06,-1.39297,-2.53835
1.07,-1.70678,-2.58291
1.08,-2.05095,-2.64245
1.09,-2.42454,-2.7199
1.1,-2.82638,-2.81844
1.11,-3.25496,-2.94144
1.12,-3.70842,-3.09241
1.13,-4.18447,-3.27496
1.14,-4.68038,-3.49278
1.15,-5.19292,-3.74956
1.16,-5.71833,-4.0489
