0,0,-15.6571,-5,-3.58571
0.01,0.039181,-15.6385,-4.96235,-3.58718
0.02,0.154602,-15.5826,-4.85132,-3.59176
0.03,0.33993,-15.4893,-4.67263,-3.60003
0.04,0.584745,-15.3587,-4.43574,-3.61282
0.05,0.874809,-15.1908,-4.15356,-3.63111
0.06,1.19255,-14.9865,-3.84211,-3.6558
0.07,1.51787,-14.7474,-3.51979,-3.68757
0.08,1.82925,-14.4761,-3.2064,-3.72663
0.09,2.10524,-14.1761,-2.92184,-3.77254
0.1,2.3261,-13.8526,-2.68467,-3.82418
0.11,2.47554,-13.5112,-2.51051,-3.87967
0.12,2.54214,-13.1588,-2.41076,-3.93653
0.13,2.52044,-12.8021,-2.39163,-3.99189
0.14,2.41123,-12.4479,-2.45378,-4.04272
0.15,2.22135,-12.1024,-2.59252,-4.08612
0.16,1.96268,-11.7706,-2.79859,-4.11963
0.17,1.65093,-11.4564,-3.05929,-4.14137
0.18,1.3041,-11.1627,-3.35974,-4.15017
0.19,0.941103,-10.8911,-3.68415,-4.14564
0.2,0.580579,-10.6423,-4.01684,-4.1281
0.21,0.239995,-10.4167,-4.34306,-4.09853
0.22,-0.0649011,-10.2141,-4.64941,-4.05844
0.23,-0.320358,-10.0345,-4.92418,-4.00983
0.24,-0.514674,-9.87791,-5.15729,-3.95505
0.25,-0.638111,-9.74486,-5.34028,-3.89671
0.26,-0.682723,-9.63641,-5.46613,-3.83769
0.27,-0.64217,-9.55429,-5.52904,-3.78101
0.28,-0.511553,-9.50097,-5.52431,-3.72983
0.29,-0.287306,-9.47971,-5.44817,-3.68741
0.3,0.0328406,-9.49462,-5.29773,-3.65705
0.31,0.44978,-9.55062,-5.07096,-3.64203
0.32,0.962848,-9.65339,-4.76682,-3.64553
0.33,1.56951,-9.8093,-4.38543,-3.67053
0.34,2.26489,-10.0252,-3.9284,-3.7196
0.35,3.04124,-10.3081,-3.39924,-3.79474
0.36,3.8872,-10.665,-2.80388,-3.8971
0.37,4.78711,-11.1017,-2.15126,-4.02667
0.38,5.72035,-11.6226,-1.45391,-4.18195
0.39,6.66097,-12.2294,-0.728398,-4.35961
0.4,7.57769,-12.9203,0.00452444,-4.55424
